,Indicator,Median,Range_min,Range_max,Index_disp,Max_dev
0,C1_cost,3.77,-14.79,22.32,1.34,7.27
1,C2_ti,1.03,0.42,1.63,0.27,0.63
2,C3_dem,0.24,0.09,0.39,0.33,0.58
3,ED1_etrans,0.44,0.11,0.77,0.33,0.94
4,ED2_eindus,0.51,0.23,0.79,0.27,0.73
5,ED3_ebuild,0.7,0.42,0.97,0.2,0.7
6,ED4_emise,-43.27,-510.06,423.53,1.43,-0.17
7,ED5_hydrogen,0.06,-0.05,0.16,0.77,3.06
8,ES1_coal,0.01,-0.04,0.05,1.29,12.63
9,ES2_oil,0.08,-0.03,0.19,0.63,1.96
10,ES3_gas,0.11,-0.08,0.3,0.82,1.7
11,ES4_solar,0.21,0.03,0.39,0.48,2.14
12,ES5_wind,0.22,-0.11,0.55,0.58,1.98
13,ES6_biomass,0.21,0.03,0.4,0.44,0.91
14,ES7_nuclear,0.03,-0.01,0.07,0.68,2.38
15,M1_cir,0.95,0.74,1.15,0.11,0.31
16,M2_eir,0.49,0.32,0.65,0.16,0.38
17,M3_cc,522.1,-27.24,1071.43,0.49,1.24
18,M4_nonco2,0.15,0.02,0.28,0.44,0.8
19,R1_rai,0.92,0.66,1.19,0.14,0.34
20,R1s_rai,0.95,0.76,1.14,0.1,0.28
21,R2_time,20.0,13.05,26.95,0.17,0.45
22,R3_speedmax,170.37,120.3,220.44,0.14,0.34
23,R4_sensprim,0.001,-0.003,0.004,1.192,5.986
24,R5_sensdem,216.91,-694.16,1127.98,1.16,5.81
